% Model:              inside_out_countercurrent_240mins_splitcelllayer.mph
% Version:            COMSOL 6.3.0.420
% Date:               Apr 30 2026, 22:07
% Table:              Table 10 - Line Integration 2
% Time (min)             Normal total flux (mol/s)
0                        6.724121301158957E-13
20                       3.4857646704288103E-12
40                       3.4854984781256647E-12
60                       3.485606230589199E-12
80                       3.4855404224180074E-12
100                      3.4855866316726063E-12
120                      3.4856124330524485E-12
140                      3.4855636961715893E-12
160                      3.4855918482115985E-12
180                      3.4855870454014766E-12
200                      3.4855646492261683E-12
220                      3.4855901563693234E-12
240                      3.485556179245233E-12
