% Model:              outside_in_originalconfiguration_countercurrent_240mins_splitcelllayer.mph
% Version:            COMSOL 6.3.0.420
% Date:               May 1 2026, 12:12
% Table:              Table 15 - Line Integration 1
% Time (min)             Normal total flux (mol/s)
0                        -4.13239654626851E-13
20                       -3.523994790957598E-12
40                       -3.524192870899592E-12
60                       -3.5241294610156833E-12
80                       -3.524163406322906E-12
100                      -3.5241810139765358E-12
120                      -3.5241642392854106E-12
140                      -3.5241550633549927E-12
160                      -3.5241628234359863E-12
180                      -3.524175703625107E-12
200                      -3.5241565558407476E-12
220                      -3.524153107875914E-12
240                      -3.524167610868064E-12
