% Model:              inside_out_baseline_10mins.mph
% Version:            COMSOL 6.3.0.420
% Date:               May 28 2026, 21:50
% Dimension:          2
% Nodes:              151
% Expressions:        21
% Description:        Pressure
% Length unit:        mm
% R                       Z                        p (Pa) @ t=0             p (Pa) @ t=0.5           p (Pa) @ t=1             p (Pa) @ t=1.5           p (Pa) @ t=2             p (Pa) @ t=2.5           p (Pa) @ t=3             p (Pa) @ t=3.5           p (Pa) @ t=4             p (Pa) @ t=4.5           p (Pa) @ t=5             p (Pa) @ t=5.5           p (Pa) @ t=6             p (Pa) @ t=6.5           p (Pa) @ t=7             p (Pa) @ t=7.5           p (Pa) @ t=8             p (Pa) @ t=8.5           p (Pa) @ t=9             p (Pa) @ t=9.5           p (Pa) @ t=10
0                         19.866666666666667       3.9761645931381784       3.9761645931381784       3.9761645931381784       3.9761645931381784       3.9761645931381784       3.9761645931381784       3.9761645931381784       3.9761645931381784       3.9761645931381784       3.9761645931381784       3.9761645931381784       3.9761645931381784       3.9761645931381784       3.9761645931381784       3.9761645931381784       3.9761645931381784       3.9761645931381784       3.9761645931381784       3.9761645931381784       3.9761645931381784       3.9761645931381784
0                         20                       -1.1649729871832695      -1.1649729871832695      -1.1649729871832695      -1.1649729871832695      -1.1649729871832695      -1.1649729871832695      -1.1649729871832695      -1.1649729871832695      -1.1649729871832695      -1.1649729871832695      -1.1649729871832695      -1.1649729871832695      -1.1649729871832695      -1.1649729871832695      -1.1649729871832695      -1.1649729871832695      -1.1649729871832695      -1.1649729871832695      -1.1649729871832695      -1.1649729871832695      -1.1649729871832695
0                         19.733333333333334       7.601419558445438        7.601419558445438        7.601419558445438        7.601419558445438        7.601419558445438        7.601419558445438        7.601419558445438        7.601419558445438        7.601419558445438        7.601419558445438        7.601419558445438        7.601419558445438        7.601419558445438        7.601419558445438        7.601419558445438        7.601419558445438        7.601419558445438        7.601419558445438        7.601419558445438        7.601419558445438        7.601419558445438
0                         19.6                     11.42714171306303        11.42714171306303        11.42714171306303        11.42714171306303        11.42714171306303        11.42714171306303        11.42714171306303        11.42714171306303        11.42714171306303        11.42714171306303        11.42714171306303        11.42714171306303        11.42714171306303        11.42714171306303        11.42714171306303        11.42714171306303        11.42714171306303        11.42714171306303        11.42714171306303        11.42714171306303        11.42714171306303
0                         19.46666666666667        15.360271421781892       15.360271421781892       15.360271421781892       15.360271421781892       15.360271421781892       15.360271421781892       15.360271421781892       15.360271421781892       15.360271421781892       15.360271421781892       15.360271421781892       15.360271421781892       15.360271421781892       15.360271421781892       15.360271421781892       15.360271421781892       15.360271421781892       15.360271421781892       15.360271421781892       15.360271421781892       15.360271421781892
0                         19.333333333333332       19.13415100267059        19.13415100267059        19.13415100267059        19.13415100267059        19.13415100267059        19.13415100267059        19.13415100267059        19.13415100267059        19.13415100267059        19.13415100267059        19.13415100267059        19.13415100267059        19.13415100267059        19.13415100267059        19.13415100267059        19.13415100267059        19.13415100267059        19.13415100267059        19.13415100267059        19.13415100267059        19.13415100267059
0                         19.2                     23.04126938624756        23.04126938624756        23.04126938624756        23.04126938624756        23.04126938624756        23.04126938624756        23.04126938624756        23.04126938624756        23.04126938624756        23.04126938624756        23.04126938624756        23.04126938624756        23.04126938624756        23.04126938624756        23.04126938624756        23.04126938624756        23.04126938624756        23.04126938624756        23.04126938624756        23.04126938624756        23.04126938624756
0                         19.066666666666666       26.846020115357486       26.846020115357486       26.846020115357486       26.846020115357486       26.846020115357486       26.846020115357486       26.846020115357486       26.846020115357486       26.846020115357486       26.846020115357486       26.846020115357486       26.846020115357486       26.846020115357486       26.846020115357486       26.846020115357486       26.846020115357486       26.846020115357486       26.846020115357486       26.846020115357486       26.846020115357486       26.846020115357486
0                         18.933333333333337       30.72638579246806        30.72638579246806        30.72638579246806        30.72638579246806        30.72638579246806        30.72638579246806        30.72638579246806        30.72638579246806        30.72638579246806        30.72638579246806        30.72638579246806        30.72638579246806        30.72638579246806        30.72638579246806        30.72638579246806        30.72638579246806        30.72638579246806        30.72638579246806        30.72638579246806        30.72638579246806        30.72638579246806
0                         18.799999999999997       34.56052111897502        34.56052111897502        34.56052111897502        34.56052111897502        34.56052111897502        34.56052111897502        34.56052111897502        34.56052111897502        34.56052111897502        34.56052111897502        34.56052111897502        34.56052111897502        34.56052111897502        34.56052111897502        34.56052111897502        34.56052111897502        34.56052111897502        34.56052111897502        34.56052111897502        34.56052111897502        34.56052111897502
0                         18.666666666666668       38.41888772922883        38.41888772922883        38.41888772922883        38.41888772922883        38.41888772922883        38.41888772922883        38.41888772922883        38.41888772922883        38.41888772922883        38.41888772922883        38.41888772922883        38.41888772922883        38.41888772922883        38.41888772922883        38.41888772922883        38.41888772922883        38.41888772922883        38.41888772922883        38.41888772922883        38.41888772922883        38.41888772922883
0                         18.53333333333333        42.25838154523802        42.25838154523802        42.25838154523802        42.25838154523802        42.25838154523802        42.25838154523802        42.25838154523802        42.25838154523802        42.25838154523802        42.25838154523802        42.25838154523802        42.25838154523802        42.25838154523802        42.25838154523802        42.25838154523802        42.25838154523802        42.25838154523802        42.25838154523802        42.25838154523802        42.25838154523802        42.25838154523802
0                         18.400000000000002       46.11538235498391        46.11538235498391        46.11538235498391        46.11538235498391        46.11538235498391        46.11538235498391        46.11538235498391        46.11538235498391        46.11538235498391        46.11538235498391        46.11538235498391        46.11538235498391        46.11538235498391        46.11538235498391        46.11538235498391        46.11538235498391        46.11538235498391        46.11538235498391        46.11538235498391        46.11538235498391        46.11538235498391
0                         18.266666666666666       49.96500462751112        49.96500462751112        49.96500462751112        49.96500462751112        49.96500462751112        49.96500462751112        49.96500462751112        49.96500462751112        49.96500462751112        49.96500462751112        49.96500462751112        49.96500462751112        49.96500462751112        49.96500462751112        49.96500462751112        49.96500462751112        49.96500462751112        49.96500462751112        49.96500462751112        49.96500462751112        49.96500462751112
0                         18.133333333333333       53.813678733792905       53.813678733792905       53.813678733792905       53.813678733792905       53.813678733792905       53.813678733792905       53.813678733792905       53.813678733792905       53.813678733792905       53.813678733792905       53.813678733792905       53.813678733792905       53.813678733792905       53.813678733792905       53.813678733792905       53.813678733792905       53.813678733792905       53.813678733792905       53.813678733792905       53.813678733792905       53.813678733792905
0                         18.000000000000004       57.659113612422296       57.659113612422296       57.659113612422296       57.659113612422296       57.659113612422296       57.659113612422296       57.659113612422296       57.659113612422296       57.659113612422296       57.659113612422296       57.659113612422296       57.659113612422296       57.659113612422296       57.659113612422296       57.659113612422296       57.659113612422296       57.659113612422296       57.659113612422296       57.659113612422296       57.659113612422296       57.659113612422296
0                         17.866666666666667       61.51229041670308        61.51229041670308        61.51229041670308        61.51229041670308        61.51229041670308        61.51229041670308        61.51229041670308        61.51229041670308        61.51229041670308        61.51229041670308        61.51229041670308        61.51229041670308        61.51229041670308        61.51229041670308        61.51229041670308        61.51229041670308        61.51229041670308        61.51229041670308        61.51229041670308        61.51229041670308        61.51229041670308
0                         17.733333333333334       65.36431201131896        65.36431201131896        65.36431201131896        65.36431201131896        65.36431201131896        65.36431201131896        65.36431201131896        65.36431201131896        65.36431201131896        65.36431201131896        65.36431201131896        65.36431201131896        65.36431201131896        65.36431201131896        65.36431201131896        65.36431201131896        65.36431201131896        65.36431201131896        65.36431201131896        65.36431201131896        65.36431201131896
0                         17.6                     69.21155489700155        69.21155489700155        69.21155489700155        69.21155489700155        69.21155489700155        69.21155489700155        69.21155489700155        69.21155489700155        69.21155489700155        69.21155489700155        69.21155489700155        69.21155489700155        69.21155489700155        69.21155489700155        69.21155489700155        69.21155489700155        69.21155489700155        69.21155489700155        69.21155489700155        69.21155489700155        69.21155489700155
0                         17.466666666666665       73.05793109778806        73.05793109778806        73.05793109778806        73.05793109778806        73.05793109778806        73.05793109778806        73.05793109778806        73.05793109778806        73.05793109778806        73.05793109778806        73.05793109778806        73.05793109778806        73.05793109778806        73.05793109778806        73.05793109778806        73.05793109778806        73.05793109778806        73.05793109778806        73.05793109778806        73.05793109778806        73.05793109778806
0                         17.333333333333336       76.91059141935014        76.91059141935014        76.91059141935014        76.91059141935014        76.91059141935014        76.91059141935014        76.91059141935014        76.91059141935014        76.91059141935014        76.91059141935014        76.91059141935014        76.91059141935014        76.91059141935014        76.91059141935014        76.91059141935014        76.91059141935014        76.91059141935014        76.91059141935014        76.91059141935014        76.91059141935014        76.91059141935014
0                         17.2                     80.76295505355414        80.76295505355414        80.76295505355414        80.76295505355414        80.76295505355414        80.76295505355414        80.76295505355414        80.76295505355414        80.76295505355414        80.76295505355414        80.76295505355414        80.76295505355414        80.76295505355414        80.76295505355414        80.76295505355414        80.76295505355414        80.76295505355414        80.76295505355414        80.76295505355414        80.76295505355414        80.76295505355414
0                         17.066666666666666       84.60988570220829        84.60988570220829        84.60988570220829        84.60988570220829        84.60988570220829        84.60988570220829        84.60988570220829        84.60988570220829        84.60988570220829        84.60988570220829        84.60988570220829        84.60988570220829        84.60988570220829        84.60988570220829        84.60988570220829        84.60988570220829        84.60988570220829        84.60988570220829        84.60988570220829        84.60988570220829        84.60988570220829
0                         16.933333333333334       88.45636787204168        88.45636787204168        88.45636787204168        88.45636787204168        88.45636787204168        88.45636787204168        88.45636787204168        88.45636787204168        88.45636787204168        88.45636787204168        88.45636787204168        88.45636787204168        88.45636787204168        88.45636787204168        88.45636787204168        88.45636787204168        88.45636787204168        88.45636787204168        88.45636787204168        88.45636787204168        88.45636787204168
0                         16.8                     92.30895135576938        92.30895135576938        92.30895135576938        92.30895135576938        92.30895135576938        92.30895135576938        92.30895135576938        92.30895135576938        92.30895135576938        92.30895135576938        92.30895135576938        92.30895135576938        92.30895135576938        92.30895135576938        92.30895135576938        92.30895135576938        92.30895135576938        92.30895135576938        92.30895135576938        92.30895135576938        92.30895135576938
0                         16.66666666666667        96.16134818854202        96.16134818854202        96.16134818854202        96.16134818854202        96.16134818854202        96.16134818854202        96.16134818854202        96.16134818854202        96.16134818854202        96.16134818854202        96.16134818854202        96.16134818854202        96.16134818854202        96.16134818854202        96.16134818854202        96.16134818854202        96.16134818854202        96.16134818854202        96.16134818854202        96.16134818854202        96.16134818854202
